time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-3-17 11:6:58.880	WT901BLE68(E947F43FF2E9)	0.315	-0.875	-0.313	2.136	2.075	1.465	-110.48	-18.19	-47.82	-19.796	17.052	16.856	0.46246	-0.77679	0.24762	-0.34830	24.3	13111	100
2025-3-17 11:6:58.935	WT901BLE68(490AABDC0D29)	-0.290	-0.922	-0.192	-1.587	-0.427	0.610	-105.41	17.35	-2.53	9.996	38.318	48.020	0.59641	-0.78824	0.10754	0.10635	22.5	13111	100
2025-3-17 11:6:58.997	WT901BLE68(E947F43FF2E9)	0.323	-0.874	-0.299	-0.366	1.648	0.916	-110.23	-18.18	-48.22	-19.796	17.052	16.856	0.46246	-0.77679	0.24762	-0.34830	24.3	13111	100
2025-3-17 11:6:59.79	WT901BLE68(490AABDC0D29)	-0.295	-0.932	-0.189	-2.075	-1.526	-0.122	-105.40	17.36	-2.70	9.996	38.318	48.020	0.60168	-0.78391	0.11069	0.10544	22.5	13111	100
2025-3-17 11:6:59.117	WT901BLE68(E947F43FF2E9)	0.319	-0.884	-0.313	0.610	0.854	0.488	-110.21	-18.18	-48.41	-19.796	17.346	16.170	0.46246	-0.77679	0.24762	-0.34830	24.3	13111	100
2025-3-17 11:6:59.141	WT901BLE68(490AABDC0D29)	-0.286	-0.932	-0.194	-4.028	-1.221	1.038	-105.44	17.39	-2.83	9.996	38.318	48.020	0.60168	-0.78391	0.11069	0.10544	22.5	13111	100
2025-3-17 11:6:59.209	WT901BLE68(E947F43FF2E9)	0.330	-0.879	-0.321	-1.709	-1.526	-1.099	-110.26	-18.23	-48.61	-19.796	17.346	16.170	0.46246	-0.77679	0.24762	-0.34830	24.3	13111	100
2025-3-17 11:6:59.260	WT901BLE68(490AABDC0D29)	-0.295	-0.930	-0.188	-1.587	-2.502	0.061	-105.32	17.45	-2.79	10.094	38.416	48.020	0.60168	-0.78391	0.11069	0.10544	22.5	13111	100
2025-3-17 11:6:59.269	WT901BLE68(E947F43FF2E9)	0.324	-0.875	-0.298	-0.183	0.183	0.000	-110.26	-18.34	-48.69	-19.796	17.346	16.170	0.45920	-0.77570	0.25183	-0.35199	24.3	13111	100
2025-3-17 11:6:59.320	WT901BLE68(490AABDC0D29)	-0.292	-0.926	-0.189	-3.784	-1.404	0.549	-105.35	17.50	-2.86	10.094	38.416	48.020	0.60168	-0.78391	0.11069	0.10544	22.5	13111	100
2025-3-17 11:6:59.389	WT901BLE68(E947F43FF2E9)	0.332	-0.874	-0.323	-2.441	-1.160	0.000	-110.41	-18.35	-48.79	-19.796	17.346	16.170	0.45920	-0.77570	0.25183	-0.35199	24.3	13111	100
2025-3-17 11:6:59.471	WT901BLE68(490AABDC0D29)	-0.300	-0.930	-0.183	-2.136	-1.587	0.671	-105.33	17.55	-2.94	10.094	38.416	48.020	0.60187	-0.78336	0.11304	0.10583	22.5	13111	100
2025-3-17 11:6:59.478	WT901BLE68(E947F43FF2E9)	0.327	-0.875	-0.308	-0.305	-1.160	0.488	-110.45	-18.36	-48.87	-19.796	17.248	16.464	0.45920	-0.77570	0.25183	-0.35199	24.3	13111	100
2025-3-17 11:6:59.539	WT901BLE68(490AABDC0D29)	-0.285	-0.928	-0.199	-5.371	-3.479	-0.916	-105.44	17.56	-2.96	10.094	38.416	48.020	0.60187	-0.78336	0.11304	0.10583	22.5	13111	100
2025-3-17 11:6:59.599	WT901BLE68(E947F43FF2E9)	0.325	-0.876	-0.311	-0.732	-0.427	0.244	-110.51	-18.32	-48.88	-19.796	17.248	16.464	0.45920	-0.77570	0.25183	-0.35199	24.3	13111	100
2025-3-17 11:6:59.654	WT901BLE68(490AABDC0D29)	-0.290	-0.934	-0.196	-2.625	-8.789	-1.038	-105.52	17.59	-2.47	10.290	38.318	47.824	0.60187	-0.78336	0.11304	0.10583	22.5	13111	100
2025-3-17 11:6:59.687	WT901BLE68(E947F43FF2E9)	0.322	-0.875	-0.318	-0.793	-0.427	-0.793	-110.59	-18.39	-48.86	-19.796	17.248	16.464	0.45920	-0.77570	0.25183	-0.35199	24.3	13111	100
2025-3-17 11:6:59.770	WT901BLE68(490AABDC0D29)	-0.299	-0.926	-0.181	-2.319	-4.211	0.183	-105.24	17.68	-2.11	10.290	38.318	47.824	0.60187	-0.78336	0.11304	0.10583	22.5	13111	100
2025-3-17 11:6:59.807	WT901BLE68(E947F43FF2E9)	0.322	-0.877	-0.314	-0.061	-0.610	0.000	-110.58	-18.47	-48.92	-19.796	17.248	16.464	0.45691	-0.77637	0.25275	-0.35281	24.3	13111	100
2025-3-17 11:6:59.860	WT901BLE68(490AABDC0D29)	-0.293	-0.927	-0.181	-3.723	-2.136	0.488	-105.23	17.73	-2.08	10.290	38.318	47.824	0.60172	-0.78348	0.10690	0.11212	22.5	13111	100
2025-3-17 11:6:59.868	WT901BLE68(E947F43FF2E9)	0.320	-0.871	-0.321	0.549	-0.793	0.366	-110.56	-18.50	-48.97	-19.894	17.052	16.366	0.45691	-0.77637	0.25275	-0.35281	24.3	13111	100
2025-3-17 11:6:59.952	WT901BLE68(490AABDC0D29)	-0.285	-0.933	-0.184	-3.479	-2.625	-0.854	-105.25	17.71	-1.95	10.290	38.318	47.824	0.60172	-0.78348	0.10690	0.11212	22.5	13111	100
2025-3-17 11:7:0.5	WT901BLE68(E947F43FF2E9)	0.331	-0.884	-0.304	1.404	0.671	0.305	-110.37	-18.52	-49.11	-19.894	17.052	16.366	0.45691	-0.77637	0.25275	-0.35281	24.3	13111	100
2025-3-17 11:7:0.69	WT901BLE68(490AABDC0D29)	-0.276	-0.941	-0.202	-5.493	-0.916	0.488	-105.49	17.68	-2.05	10.290	38.318	47.824	0.60172	-0.78348	0.10690	0.11212	22.5	13111	100
2025-3-17 11:7:0.78	WT901BLE68(E947F43FF2E9)	0.320	-0.867	-0.310	0.549	1.221	-0.183	-110.26	-18.61	-49.22	-19.894	17.052	16.366	0.45782	-0.77298	0.25439	-0.35785	24.3	13111	100
