time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-3-19 12:54:37.141	WT901BLE68(E947F43FF2E9)	-0.213	0.976	0.035	-0.732	-0.061	0.122	86.62	11.63	-6.23	12.740	-63.210	-10.780	0.71896	0.68542	0.03641	-0.10876	21.6	13111	100
2025-3-19 12:54:37.200	WT901BLE68(E947F43FF2E9)	-0.213	0.976	0.035	-1.221	0.000	0.183	86.61	11.67	-6.25	12.740	-63.210	-10.878	0.71896	0.68542	0.03641	-0.10876	21.6	13111	100
2025-3-19 12:54:37.221	WT901BLE68(490AABDC0D29)	0.101	0.980	-0.122	-2.625	-1.465	0.427	92.77	-5.57	-176.82	-9.898	-39.102	56.644	0.05426	-0.01352	-0.72379	-0.68768	20.3	13111	100
2025-3-19 12:54:37.281	WT901BLE68(490AABDC0D29)	0.099	0.980	-0.121	-2.808	-1.648	0.061	92.77	-5.59	-176.83	-9.898	-39.102	56.644	0.05426	-0.01352	-0.72379	-0.68768	20.3	13111	100
2025-3-19 12:54:37.319	WT901BLE68(E947F43FF2E9)	-0.211	0.976	0.037	-0.793	0.183	0.427	86.59	11.67	-6.27	12.740	-63.210	-10.878	0.71896	0.68542	0.03641	-0.10876	21.6	13111	100
2025-3-19 12:54:37.402	WT901BLE68(490AABDC0D29)	0.099	0.979	-0.123	-2.930	-1.587	0.061	92.76	-5.59	-176.83	-9.898	-39.102	56.644	0.05426	-0.01352	-0.72379	-0.68768	20.3	13111	100
2025-3-19 12:54:37.409	WT901BLE68(E947F43FF2E9)	-0.211	0.978	0.033	-0.427	0.122	0.488	86.61	11.66	-6.28	12.740	-63.210	-10.878	0.71890	0.68542	0.03644	-0.10919	21.6	13111	100
2025-3-19 12:54:37.492	WT901BLE68(490AABDC0D29)	0.098	0.980	-0.120	-2.625	-1.648	0.183	92.75	-5.59	-176.84	-9.898	-39.102	56.644	0.05426	-0.01352	-0.72379	-0.68768	20.3	13111	100
2025-3-19 12:54:37.528	WT901BLE68(E947F43FF2E9)	-0.213	0.976	0.032	-1.038	-0.061	0.183	86.63	11.67	-6.30	12.740	-63.210	-10.878	0.71890	0.68542	0.03644	-0.10919	21.6	13111	100
2025-3-19 12:54:37.617	WT901BLE68(490AABDC0D29)	0.100	0.980	-0.122	-2.686	-1.770	0.000	92.76	-5.60	-176.85	-9.898	-39.102	56.644	0.05426	-0.01376	-0.72372	-0.68774	20.3	13111	100
2025-3-19 12:54:37.625	WT901BLE68(E947F43FF2E9)	-0.213	0.976	0.036	-1.221	-0.183	0.366	86.59	11.68	-6.32	12.740	-63.210	-10.878	0.71890	0.68542	0.03644	-0.10919	21.6	13111	100
2025-3-19 12:54:37.701	WT901BLE68(490AABDC0D29)	0.098	0.981	-0.124	-2.808	-1.953	-0.122	92.77	-5.58	-176.85	-9.898	-39.102	56.644	0.05426	-0.01376	-0.72372	-0.68774	20.3	13111	100
2025-3-19 12:54:37.744	WT901BLE68(E947F43FF2E9)	-0.210	0.976	0.035	-0.549	0.305	0.549	86.60	11.67	-6.33	12.740	-63.210	-10.878	0.71890	0.68542	0.03644	-0.10919	21.6	13111	100
2025-3-19 12:54:37.797	WT901BLE68(E947F43FF2E9)	-0.210	0.977	0.033	-0.610	0.488	0.488	86.64	11.65	-6.30	12.740	-63.210	-10.878	0.71881	0.68555	0.03622	-0.10925	21.6	13111	100
2025-3-19 12:54:37.821	WT901BLE68(490AABDC0D29)	0.101	0.981	-0.120	-2.991	-1.587	0.000	92.74	-5.57	-176.84	-9.800	-39.102	56.546	0.05426	-0.01376	-0.72372	-0.68774	20.3	13111	100
2025-3-19 12:54:37.881	WT901BLE68(490AABDC0D29)	0.107	0.981	-0.122	-3.601	-0.427	0.000	92.69	-5.56	-176.79	-9.800	-39.102	56.546	0.05426	-0.01376	-0.72372	-0.68774	20.3	13111	100
