time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-3-20 10:50:11.827	WT901BLE68(490AABDC0D29)	-0.020	0.993	0.102	-2.563	-1.587	0.000	79.55	0.68	-150.73	-13.034	-40.572	17.934	0.19058	0.16617	-0.61786	-0.74445	24.2	13111	100
2025-3-20 10:50:11.834	WT901BLE68(E947F43FF2E9)	0.036	0.690	-0.688	-0.977	0.916	-0.427	133.26	-2.21	99.61	20.776	-39.004	44.394	0.24237	0.59833	0.69604	0.31409	26.0	13111	100
2025-3-20 10:50:11.895	WT901BLE68(E947F43FF2E9)	0.026	0.692	-0.686	-0.854	0.061	0.122	133.26	-2.20	99.71	20.776	-39.004	44.394	0.24216	0.59756	0.69662	0.31445	26.0	13111	100
2025-3-20 10:50:11.917	WT901BLE68(490AABDC0D29)	-0.018	0.994	0.100	-2.625	-1.892	0.000	79.57	0.68	-150.73	-13.034	-40.572	17.934	0.19040	0.16599	-0.61798	-0.74442	24.2	13111	100
2025-3-20 10:50:12.14	WT901BLE68(E947F43FF2E9)	0.031	0.689	-0.686	-1.282	-0.305	0.916	133.25	-2.21	99.68	20.776	-39.004	44.394	0.24216	0.59756	0.69662	0.31445	26.0	13111	100
2025-3-20 10:50:12.37	WT901BLE68(490AABDC0D29)	-0.019	0.993	0.102	-2.991	-1.648	0.000	79.55	0.67	-150.76	-13.034	-40.572	17.934	0.19040	0.16599	-0.61798	-0.74442	24.2	13111	100
2025-3-20 10:50:12.98	WT901BLE68(490AABDC0D29)	-0.019	0.992	0.101	-2.808	-1.465	0.000	79.55	0.67	-150.75	-12.936	-40.572	17.836	0.19040	0.16599	-0.61798	-0.74442	24.2	13111	100
2025-3-20 10:50:12.107	WT901BLE68(E947F43FF2E9)	0.027	0.689	-0.688	-0.549	0.610	0.122	133.26	-2.22	99.71	20.776	-39.004	44.394	0.24216	0.59756	0.69662	0.31445	26.0	13111	100
2025-3-20 10:50:12.217	WT901BLE68(490AABDC0D29)	-0.017	0.993	0.100	-2.747	-1.648	0.000	79.55	0.67	-150.74	-12.936	-40.572	17.836	0.19040	0.16599	-0.61798	-0.74442	24.2	13111	100
2025-3-20 10:50:12.223	WT901BLE68(E947F43FF2E9)	0.028	0.690	-0.686	-1.038	-0.427	0.732	133.28	-2.23	99.64	20.776	-39.004	44.394	0.24216	0.59756	0.69662	0.31445	26.0	13111	100
2025-3-20 10:50:12.311	WT901BLE68(490AABDC0D29)	-0.015	0.993	0.103	-2.441	-1.404	0.000	79.56	0.68	-150.73	-12.936	-40.572	17.836	0.19052	0.16614	-0.61807	-0.74429	24.2	13111	100
2025-3-20 10:50:12.315	WT901BLE68(E947F43FF2E9)	0.035	0.686	-0.690	-1.343	-0.671	-0.366	133.27	-2.16	99.66	20.776	-39.004	44.394	0.24319	0.59766	0.69675	0.31317	26.0	13111	100
2025-3-20 10:50:12.426	WT901BLE68(490AABDC0D29)	-0.029	0.994	0.097	-0.427	-2.380	0.732	79.71	0.63	-150.72	-12.936	-40.572	17.836	0.19052	0.16614	-0.61807	-0.74429	24.2	13111	100
2025-3-20 10:50:12.434	WT901BLE68(E947F43FF2E9)	0.125	0.688	-0.699	1.709	-0.061	-1.038	133.39	-1.99	99.63	20.776	-39.004	44.394	0.24319	0.59766	0.69675	0.31317	26.0	13111	100
2025-3-20 10:50:12.525	WT901BLE68(E947F43FF2E9)	0.359	0.711	-0.691	7.874	-11.963	11.902	133.91	-1.94	98.95	21.266	-38.514	44.590	0.24319	0.59766	0.69675	0.31317	26.0	13111	100
2025-3-20 10:50:12.547	WT901BLE68(490AABDC0D29)	0.049	1.031	0.080	4.456	-20.325	-7.507	80.12	0.75	-151.23	-13.034	-40.670	18.424	0.19052	0.16614	-0.61807	-0.74429	24.2	13111	100
2025-3-20 10:50:12.637	WT901BLE68(490AABDC0D29)	-0.182	0.999	0.067	-2.075	4.089	-5.066	80.47	0.99	-152.92	-13.034	-40.670	18.424	0.19052	0.16614	-0.61807	-0.74429	24.2	13111	100
2025-3-20 10:50:12.645	WT901BLE68(E947F43FF2E9)	0.162	0.728	-0.562	0.671	-19.043	50.537	134.75	-3.03	96.06	21.266	-38.514	44.590	0.24319	0.59766	0.69675	0.31317	26.0	13111	100
2025-3-20 10:50:12.714	WT901BLE68(E947F43FF2E9)	0.051	0.629	-0.626	6.653	-2.625	64.148	135.08	-7.37	91.92	21.266	-38.514	44.590	0.20926	0.67719	0.62833	0.32053	26.0	13111	100
2025-3-20 10:50:12.726	WT901BLE68(490AABDC0D29)	-0.021	0.958	0.083	-10.315	86.975	2.991	79.56	2.27	-146.30	-13.034	-40.670	18.424	0.21762	0.20761	-0.60480	-0.73734	24.2	13111	100
2025-3-20 10:50:12.822	WT901BLE68(E947F43FF2E9)	0.097	0.645	-0.612	-8.179	17.334	61.035	136.02	-11.96	88.49	21.266	-38.514	44.590	0.20926	0.67719	0.62833	0.32053	26.0	13111	100
2025-3-20 10:50:12.846	WT901BLE68(490AABDC0D29)	-0.074	0.984	0.086	13.977	8.911	5.371	80.88	2.43	-143.30	-13.034	-40.670	18.424	0.21762	0.20761	-0.60480	-0.73734	24.2	13111	100
2025-3-20 10:50:12.915	WT901BLE68(490AABDC0D29)	-0.242	1.026	0.088	9.338	10.376	2.991	82.19	2.38	-142.74	-9.506	-41.454	19.894	0.21762	0.20761	-0.60480	-0.73734	24.2	13111	100
2025-3-20 10:50:12.916	WT901BLE68(E947F43FF2E9)	0.121	0.624	-0.668	-35.034	59.875	36.804	134.06	-17.27	87.84	11.368	-40.866	43.218	0.20926	0.67719	0.62833	0.32053	26.0	13111	100
2025-3-20 10:50:13.24	WT901BLE68(490AABDC0D29)	0.338	1.593	0.211	34.302	30.640	18.066	84.46	1.43	-141.96	-9.506	-41.454	19.894	0.21762	0.20761	-0.60480	-0.73734	24.2	13111	100
2025-3-20 10:50:13.31	WT901BLE68(E947F43FF2E9)	0.154	0.737	-0.479	-46.326	53.101	0.549	129.27	-21.53	91.18	11.368	-40.866	43.218	0.20926	0.67719	0.62833	0.32053	26.0	13111	100
2025-3-20 10:50:13.116	WT901BLE68(490AABDC0D29)	0.159	0.708	-0.024	49.133	-41.809	-48.218	88.77	3.44	-142.23	-9.506	-41.454	19.894	0.19388	0.25073	-0.66153	-0.67957	24.2	13111	100
