time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-3-13 10:6:7.812	WT901BLE68(E947F43FF2E9)	-0.564	0.018	-0.785	-1.221	-1.160	0.488	176.50	35.38	-25.03	22.344	-25.480	49.784	-0.03781	0.93262	-0.19693	-0.29984	27.6	13111	100
2025-3-13 10:6:7.863	WT901BLE68(490AABDC0D29)	0.007	-0.976	-0.186	-2.625	-1.465	0.000	-105.35	0.24	-27.54	-27.244	29.400	53.116	0.58902	-0.77222	0.19052	-0.14258	26.9	13111	100
2025-3-13 10:6:7.929	WT901BLE68(E947F43FF2E9)	-0.566	0.019	-0.787	-0.671	-0.305	0.366	176.50	35.46	-25.05	22.344	-25.480	49.784	-0.03781	0.93127	-0.19745	-0.30365	27.6	13111	100
2025-3-13 10:6:7.981	WT901BLE68(490AABDC0D29)	0.006	-0.974	-0.189	-2.502	-1.404	0.000	-105.34	0.24	-27.54	-27.244	29.400	53.116	0.58936	-0.77197	0.19046	-0.14270	26.9	13111	100
2025-3-13 10:6:7.990	WT901BLE68(E947F43FF2E9)	-0.566	0.018	-0.787	-0.916	-0.427	0.610	176.51	35.50	-25.07	22.344	-25.480	49.784	-0.03781	0.93127	-0.19745	-0.30365	27.6	13111	100
2025-3-13 10:6:8.42	WT901BLE68(490AABDC0D29)	0.004	-0.975	-0.190	-2.380	-1.648	0.000	-105.32	0.23	-27.55	-27.244	29.400	53.116	0.58936	-0.77197	0.19046	-0.14270	26.9	13111	100
2025-3-13 10:6:8.138	WT901BLE68(E947F43FF2E9)	-0.566	0.022	-0.783	-1.526	-0.183	0.488	176.50	35.51	-25.09	22.540	-25.480	49.882	-0.03781	0.93127	-0.19745	-0.30365	27.6	13111	100
2025-3-13 10:6:8.163	WT901BLE68(490AABDC0D29)	0.009	-0.979	-0.183	-2.380	-1.404	0.000	-105.30	0.23	-27.55	-27.146	29.302	52.920	0.58936	-0.77197	0.19046	-0.14270	26.9	13111	100
2025-3-13 10:6:8.199	WT901BLE68(E947F43FF2E9)	-0.567	0.018	-0.785	-1.099	0.000	0.366	176.48	35.54	-25.12	22.540	-25.480	49.882	-0.03781	0.93127	-0.19745	-0.30365	27.6	13111	100
2025-3-13 10:6:8.251	WT901BLE68(490AABDC0D29)	0.007	-0.974	-0.188	-2.563	-1.526	0.000	-105.28	0.23	-27.54	-27.146	29.302	52.920	0.58936	-0.77197	0.19046	-0.14270	26.9	13111	100
2025-3-13 10:6:8.321	WT901BLE68(E947F43FF2E9)	-0.568	0.021	-0.788	-1.953	-1.465	0.610	176.42	35.63	-25.19	22.540	-25.480	49.882	-0.03745	0.93051	-0.19815	-0.30560	27.6	13111	100
2025-3-13 10:6:8.371	WT901BLE68(490AABDC0D29)	0.008	-0.975	-0.188	-2.441	-1.831	0.000	-105.27	0.24	-27.49	-27.146	29.302	52.920	0.58994	-0.77164	0.19003	-0.14255	26.9	13111	100
2025-3-13 10:6:8.421	WT901BLE68(E947F43FF2E9)	-0.573	0.029	-0.786	-3.113	-4.272	0.305	176.26	35.88	-25.23	22.540	-25.480	49.882	-0.03745	0.93051	-0.19815	-0.30560	27.6	13111	100
2025-3-13 10:6:8.463	WT901BLE68(490AABDC0D29)	-0.008	-0.979	-0.189	-1.526	-2.686	-0.488	-105.22	0.24	-27.41	-27.146	29.302	52.920	0.58994	-0.77164	0.19003	-0.14255	26.9	13111	100
2025-3-13 10:6:8.528	WT901BLE68(E947F43FF2E9)	-0.646	0.055	-0.792	-11.902	-3.113	-5.737	175.73	36.64	-25.07	23.226	-26.460	49.686	-0.03745	0.93051	-0.19815	-0.30560	27.6	13111	100
2025-3-13 10:6:8.583	WT901BLE68(490AABDC0D29)	0.019	-0.970	-0.216	1.282	-3.845	-2.686	-104.97	0.14	-27.19	-27.048	29.400	52.920	0.58994	-0.77164	0.19003	-0.14255	26.9	13111	100
2025-3-13 10:6:8.622	WT901BLE68(E947F43FF2E9)	-0.849	0.064	-0.824	-42.664	9.399	-26.611	174.05	35.62	-22.85	23.226	-26.460	49.686	-0.03745	0.93051	-0.19815	-0.30560	27.6	13111	100
2025-3-13 10:6:8.642	WT901BLE68(490AABDC0D29)	0.039	-0.981	-0.186	2.747	-1.282	-5.920	-104.53	-0.27	-27.10	-27.048	29.400	52.920	0.58994	-0.77164	0.19003	-0.14255	26.9	13111	100
2025-3-13 10:6:8.738	WT901BLE68(E947F43FF2E9)	-0.759	0.049	-0.681	-52.063	-43.762	-57.190	172.31	38.79	-18.68	23.226	-26.460	49.686	0.01468	0.92911	-0.09216	-0.35773	27.6	13111	100
2025-3-13 10:6:8.763	WT901BLE68(490AABDC0D29)	0.042	-0.910	-0.155	-13.000	4.822	1.648	-104.68	-0.63	-28.05	-27.048	29.400	52.920	0.59070	-0.76947	0.18903	-0.15213	26.9	13111	100
2025-3-13 10:6:8.799	WT901BLE68(E947F43FF2E9)	-0.453	0.098	-0.666	-31.677	-8.667	-77.881	174.05	42.36	-10.93	23.226	-26.460	49.686	0.01468	0.92911	-0.09216	-0.35773	27.6	13111	100
2025-3-13 10:6:8.853	WT901BLE68(490AABDC0D29)	-0.047	-0.990	-0.153	-26.001	2.014	8.728	-106.60	-0.17	-28.16	-27.048	29.400	52.920	0.59070	-0.76947	0.18903	-0.15213	26.9	13111	100
2025-3-13 10:6:8.919	WT901BLE68(E947F43FF2E9)	-0.173	0.208	-0.560	-49.194	-19.653	-62.683	176.83	45.57	-3.24	31.458	-34.594	45.178	0.01468	0.92911	-0.09216	-0.35773	27.6	13111	100
2025-3-13 10:6:8.972	WT901BLE68(490AABDC0D29)	-0.034	-0.994	-0.277	-23.071	-7.996	6.897	-108.75	0.63	-28.36	-27.244	28.518	54.880	0.59070	-0.76947	0.18903	-0.15213	26.9	13111	100
2025-3-13 10:6:9.24	WT901BLE68(E947F43FF2E9)	-0.410	0.250	-0.631	-84.351	0.549	-1.709	172.13	44.43	-0.24	31.458	-34.594	45.178	0.01468	0.92911	-0.09216	-0.35773	27.6	13111	100
2025-3-13 10:6:9.63	WT901BLE68(490AABDC0D29)	-0.031	-0.991	-0.272	-2.319	-2.380	-0.244	-109.46	0.97	-28.25	-27.244	28.518	54.880	0.59070	-0.76947	0.18903	-0.15213	26.9	13111	100
2025-3-13 10:6:9.130	WT901BLE68(E947F43FF2E9)	-0.604	0.298	-0.614	-104.797	14.160	73.303	158.02	41.40	-5.92	31.458	-34.594	45.178	0.21484	0.91714	0.00348	-0.33551	27.6	13111	100
2025-3-13 10:6:9.181	WT901BLE68(490AABDC0D29)	-0.052	-1.095	-0.142	12.512	8.484	10.681	-108.50	1.28	-28.69	-27.244	28.518	54.880	0.57239	-0.77957	0.21249	-0.13922	26.9	13111	100
2025-3-13 10:6:9.224	WT901BLE68(E947F43FF2E9)	-0.545	0.328	-0.832	-80.261	36.621	100.891	143.84	33.84	-13.90	31.458	-34.594	45.178	0.21484	0.91714	0.00348	-0.33551	27.6	13111	100
2025-3-13 10:6:9.242	WT901BLE68(490AABDC0D29)	-0.166	-0.929	-0.307	25.024	1.465	14.160	-105.86	2.18	-30.57	-27.244	28.518	54.880	0.57239	-0.77957	0.21249	-0.13922	26.9	13111	100
2025-3-13 10:6:9.339	WT901BLE68(E947F43FF2E9)	-0.400	0.574	-0.720	-66.467	19.165	85.266	134.90	25.46	-19.80	14.308	-55.762	30.380	0.21484	0.91714	0.00348	-0.33551	27.6	13111	100
2025-3-13 10:6:9.391	WT901BLE68(490AABDC0D29)	-0.226	-0.909	-0.029	22.339	32.654	42.969	-104.15	4.43	-32.23	-24.794	30.968	51.450	0.57239	-0.77957	0.21249	-0.13922	26.9	13111	100
2025-3-13 10:6:9.400	WT901BLE68(E947F43FF2E9)	-0.271	0.823	-0.629	-58.167	22.217	59.753	128.33	19.11	-23.46	14.308	-55.762	30.380	0.21484	0.91714	0.00348	-0.33551	27.6	13111	100
2025-3-13 10:6:9.482	WT901BLE68(490AABDC0D29)	-0.124	-0.965	-0.061	21.729	-1.404	59.326	-101.72	8.99	-35.06	-24.794	30.968	51.450	0.57239	-0.77957	0.21249	-0.13922	26.9	13111	100
2025-3-13 10:6:9.549	WT901BLE68(E947F43FF2E9)	-0.196	0.921	-0.450	-63.232	22.217	39.490	122.47	14.56	-25.54	14.308	-55.762	30.380	0.47311	0.84470	-0.14294	-0.20526	27.6	13111	100
2025-3-13 10:6:9.572	WT901BLE68(490AABDC0D29)	-0.179	-0.998	-0.080	14.343	-4.028	53.528	-99.73	14.83	-35.38	-24.794	30.968	51.450	0.64130	-0.69373	0.31329	-0.09598	26.9	13111	100
2025-3-13 10:6:9.608	WT901BLE68(E947F43FF2E9)	-0.166	0.917	-0.466	-42.419	23.254	28.625	116.98	10.95	-26.69	14.308	-55.762	30.380	0.47311	0.84470	-0.14294	-0.20526	27.6	13111	100
2025-3-13 10:6:9.663	WT901BLE68(490AABDC0D29)	-0.199	-0.953	-0.117	9.094	15.137	22.644	-98.56	18.33	-36.10	-24.794	30.968	51.450	0.64130	-0.69373	0.31329	-0.09598	26.9	13111	100
2025-3-13 10:6:9.730	WT901BLE68(E947F43FF2E9)	-0.057	0.927	-0.303	-23.010	40.649	15.747	114.41	7.71	-26.13	-3.332	-58.506	13.622	0.47311	0.84470	-0.14294	-0.20526	27.6	13111	100
2025-3-13 10:6:9.781	WT901BLE68(490AABDC0D29)	-0.219	-0.911	-0.120	2.747	13.916	-6.226	-98.25	18.32	-36.99	-13.720	35.574	45.374	0.64130	-0.69373	0.31329	-0.09598	26.9	13111	100
2025-3-13 10:6:9.827	WT901BLE68(E947F43FF2E9)	-0.003	0.988	-0.257	-39.063	34.668	0.488	111.83	5.66	-24.39	-3.332	-58.506	13.622	0.47311	0.84470	-0.14294	-0.20526	27.6	13111	100
2025-3-13 10:6:9.874	WT901BLE68(490AABDC0D29)	-0.338	-0.935	-0.180	-8.423	-17.151	-24.963	-98.33	16.45	-36.27	-13.720	35.574	45.374	0.64130	-0.69373	0.31329	-0.09598	26.9	13111	100
2025-3-13 10:6:9.939	WT901BLE68(E947F43FF2E9)	0.053	1.015	-0.308	-40.466	22.949	3.418	107.70	4.47	-23.29	-3.332	-58.506	13.622	0.58542	0.78519	-0.13852	-0.14648	27.6	13111	100
2025-3-13 10:6:9.991	WT901BLE68(490AABDC0D29)	-0.303	-0.967	-0.120	-20.996	-4.517	-23.804	-99.54	14.14	-34.34	-13.720	35.574	45.374	0.63580	-0.70639	0.29437	-0.10013	26.9	13111	100
2025-3-13 10:6:10.30	WT901BLE68(E947F43FF2E9)	0.017	0.999	-0.326	-24.475	5.737	8.850	104.63	3.43	-23.38	-3.332	-58.506	13.622	0.58542	0.78519	-0.13852	-0.14648	27.6	13111	100
2025-3-13 10:6:10.53	WT901BLE68(490AABDC0D29)	-0.137	-0.995	-0.028	-16.663	-10.620	-14.465	-101.06	12.67	-33.07	-13.720	35.574	45.374	0.63580	-0.70639	0.29437	-0.10013	26.9	13111	100
2025-3-13 10:6:10.148	WT901BLE68(E947F43FF2E9)	0.066	0.994	-0.176	-29.114	29.114	10.681	102.07	1.92	-22.02	-5.390	-59.682	3.724	0.58542	0.78519	-0.13852	-0.14648	27.6	13111	100
2025-3-13 10:6:10.173	WT901BLE68(490AABDC0D29)	-0.048	-0.922	0.030	7.141	-11.353	-22.888	-100.84	11.46	-31.57	-18.914	33.712	47.824	0.63580	-0.70639	0.29437	-0.10013	26.9	13111	100
2025-3-13 10:6:10.209	WT901BLE68(E947F43FF2E9)	0.089	0.956	-0.172	-20.752	15.198	13.977	99.90	0.35	-20.54	-5.390	-59.682	3.724	0.58542	0.78519	-0.13852	-0.14648	27.6	13111	100
2025-3-13 10:6:10.263	WT901BLE68(490AABDC0D29)	0.021	-0.798	-0.200	0.305	-8.911	-41.992	-99.14	8.32	-29.82	-18.914	33.712	47.824	0.63580	-0.70639	0.29437	-0.10013	26.9	13111	100
2025-3-13 10:6:10.330	WT901BLE68(E947F43FF2E9)	0.020	0.953	-0.190	-6.165	16.968	24.902	98.59	-1.99	-19.11	-5.390	-59.682	3.724	0.64807	0.74457	-0.13977	-0.07724	27.6	13111	100
2025-3-13 10:6:10.381	WT901BLE68(490AABDC0D29)	0.003	-0.991	-0.306	-36.499	6.531	-51.819	-101.21	3.62	-29.20	-18.914	33.712	47.824	0.61517	-0.74771	0.20792	-0.13828	26.9	13111	100
2025-3-13 10:6:10.428	WT901BLE68(E947F43FF2E9)	0.182	0.931	-0.070	0.488	9.644	14.465	98.53	-4.29	-17.98	-5.390	-59.682	3.724	0.64807	0.74457	-0.13977	-0.07724	27.6	13111	100
2025-3-13 10:6:10.473	WT901BLE68(490AABDC0D29)	0.099	-0.652	-0.138	4.578	8.240	-8.606	-101.94	2.14	-29.67	-18.914	33.712	47.824	0.61517	-0.74771	0.20792	-0.13828	26.9	13111	100
2025-3-13 10:6:10.539	WT901BLE68(E947F43FF2E9)	0.184	0.933	-0.119	2.502	7.141	7.629	98.57	-5.27	-18.34	-9.212	-57.330	0.294	0.64807	0.74457	-0.13977	-0.07724	27.6	13111	100
2025-3-13 10:6:10.591	WT901BLE68(490AABDC0D29)	-0.061	-0.892	-0.193	-1.282	-10.010	-17.273	-101.76	1.41	-29.20	-27.538	30.380	48.608	0.61517	-0.74771	0.20792	-0.13828	26.9	13111	100
2025-3-13 10:6:10.630	WT901BLE68(E947F43FF2E9)	0.083	0.958	-0.161	2.136	3.906	5.981	98.60	-5.91	-18.47	-9.212	-57.330	0.294	0.64807	0.74457	-0.13977	-0.07724	27.6	13111	100
