Timestamp,AccX,AccY,AccZ,AsX,AsY,AsZ,AngX,AngY,AngZ,HX,HY,HZ,Q0,Q1,Q2,Q3
2025-03-10 15:32:29.084,-0.009,0.017,1.032,0.0,0.0,0.0,0.923,0.522,160.274,1.275,-3.242,-2.958,,,,
2025-03-10 15:32:29.085,-0.009,0.017,1.033,0.0,0.0,0.0,0.923,0.522,160.274,1.275,-3.242,-2.958,,,,
2025-03-10 15:32:29.296,-0.009,0.017,1.033,0.0,0.0,0.0,0.923,0.522,160.274,1.275,-3.242,-2.958,0.17126,-0.00311,0.00873,0.98514
2025-03-10 15:32:29.296,-0.009,0.016,1.033,0.0,0.0,0.0,0.923,0.522,160.274,1.275,-3.242,-2.958,0.17126,-0.00311,0.00873,0.98514
2025-03-10 15:32:29.401,-0.01,0.016,1.033,0.0,0.0,0.0,0.923,0.522,160.274,1.267,-3.242,-2.95,0.17126,-0.00311,0.00873,0.98514
2025-03-10 15:32:29.506,-0.011,0.016,1.032,0.0,0.0,0.0,0.923,0.522,160.274,1.267,-3.242,-2.95,0.17126,-0.00311,0.00873,0.98514
2025-03-10 15:32:29.607,-0.013,0.016,1.03,0.0,0.0,0.0,0.923,0.522,160.274,1.267,-3.242,-2.95,0.17126,-0.00311,0.00873,0.98514
2025-03-10 15:32:29.709,-0.011,0.015,1.031,0.0,0.0,0.0,0.923,0.522,160.274,1.267,-3.242,-2.95,0.17126,-0.00311,0.00873,0.98514
2025-03-10 15:32:29.815,-0.01,0.015,1.032,0.0,0.0,0.0,0.923,0.522,160.274,1.267,-3.242,-2.942,0.17126,-0.00311,0.00873,0.98514
2025-03-10 15:32:29.919,-0.009,0.016,1.033,0.0,0.0,0.0,0.923,0.522,160.274,1.267,-3.242,-2.942,0.17126,-0.00311,0.00873,0.98514
2025-03-10 15:32:30.024,-0.008,0.018,1.033,0.0,0.0,0.0,0.923,0.522,160.274,1.267,-3.242,-2.942,0.17126,-0.00311,0.00873,0.98514
2025-03-10 15:32:30.126,-0.009,0.017,1.033,0.0,0.0,0.0,0.923,0.522,160.274,1.267,-3.242,-2.942,0.17126,-0.00311,0.00873,0.98514
2025-03-10 15:32:30.232,-0.009,0.016,1.032,0.0,0.0,0.0,0.923,0.522,160.274,1.267,-3.25,-2.95,0.17126,-0.00311,0.00873,0.98514
2025-03-10 15:32:30.337,-0.01,0.016,1.032,0.0,0.0,0.0,0.923,0.522,160.274,1.267,-3.25,-2.95,0.17126,-0.00311,0.00873,0.98514
2025-03-10 15:32:30.439,-0.01,0.017,1.032,0.0,0.0,0.0,0.923,0.522,160.274,1.267,-3.25,-2.95,0.17126,-0.00311,0.00873,0.98514
2025-03-10 15:32:30.545,-0.01,0.017,1.032,0.0,0.0,0.0,0.923,0.522,160.274,1.267,-3.25,-2.95,0.17126,-0.00311,0.00873,0.98514
2025-03-10 15:32:30.651,-0.01,0.018,1.032,0.0,0.0,0.0,0.923,0.522,160.274,1.267,-3.25,-2.942,0.17126,-0.00311,0.00873,0.98514
2025-03-10 15:32:30.756,-0.009,0.017,1.032,0.0,0.0,0.0,0.923,0.522,160.274,1.267,-3.25,-2.942,0.17126,-0.00311,0.00873,0.98514
2025-03-10 15:32:30.856,-0.009,0.017,1.035,0.0,0.0,0.0,0.923,0.522,160.274,1.267,-3.25,-2.942,0.17126,-0.00311,0.00873,0.98514
2025-03-10 15:32:30.961,-0.007,0.021,1.035,0.0,0.0,0.0,0.923,0.522,160.274,1.267,-3.25,-2.942,0.17126,-0.00311,0.00873,0.98514
2025-03-10 15:32:31.064,-0.008,0.022,1.032,0.0,0.0,0.0,0.923,0.522,160.274,1.275,-3.25,-2.95,0.17126,-0.00311,0.00873,0.98514
2025-03-10 15:32:31.170,-0.008,0.02,1.033,0.0,0.0,0.0,0.923,0.522,160.274,1.275,-3.25,-2.95,0.17126,-0.00311,0.00873,0.98514
2025-03-10 15:32:31.274,-0.004,0.015,1.035,0.0,0.0,0.0,0.923,0.522,160.274,1.275,-3.25,-2.95,0.17126,-0.00311,0.00873,0.98514
2025-03-10 15:32:31.378,-0.006,0.014,1.033,0.0,0.0,0.0,0.917,0.522,160.274,1.275,-3.25,-2.95,0.17126,-0.00311,0.0087,0.98514
2025-03-10 15:32:31.483,-0.008,0.014,1.032,0.0,0.0,0.0,0.923,0.522,160.274,1.275,-3.25,-2.95,0.17126,-0.00311,0.0087,0.98514
2025-03-10 15:32:31.588,-0.01,0.017,1.032,0.0,0.0,0.0,0.917,0.522,160.274,1.267,-3.242,-2.958,0.17126,-0.00311,0.0087,0.98514
2025-03-10 15:32:31.693,-0.012,0.018,1.032,0.0,0.0,0.0,0.917,0.522,160.274,1.267,-3.242,-2.958,0.17126,-0.00311,0.0087,0.98514
2025-03-10 15:32:31.694,-0.011,0.017,1.032,0.0,0.0,0.0,0.917,0.522,160.274,1.267,-3.242,-2.958,0.17126,-0.00314,0.0087,0.98514
2025-03-10 15:32:31.903,-0.01,0.016,1.031,0.0,0.0,0.0,0.917,0.522,160.274,1.267,-3.242,-2.958,0.17126,-0.00314,0.0087,0.98514
